fileName,fileDurationInSec,fileSamplerate,audioChannels,bytesPerSample,compression,numberOfFrames,numberOfSpeechFramesWebRTC,percentageOfSpeechFramesWebRTC,speechDurationInSecWebRTC,speechPercentageP56,speechDurationP56,LoudnessITU-R1770-4,ActiveSpeechLevelP56,BandwiseBandwidthEstimation,ShortAmplitudeReversalCounts,deviceAndMicrophone
B00_5c34_Gm_R09_S03_tr.wav,14.196,48000,2,2,not compressed,473,416,0.879,12.48,0.897,12.732,-17.58,-20.006,SWB,0,"Smartphone, built-in mic"
B03_fe50_Gf_R10_S04_tr.wav,15.698,48000,1,2,not compressed,523,432,0.826,12.96,0.877,13.769,-24.797,-24.989,FB,0,Laptop with a headset or external mic
B03_1c2a_Gf_R06_S05_tr.wav,8.796,48000,1,2,not compressed,293,232,0.792,6.96,0.854,7.513,-23.524,-23.375,FB,0,"Laptop, built-in mic"
B03_bbf3_Gf_R06_S03_tr.wav,19.14,48000,2,2,not compressed,637,496,0.779,14.88,0.754,14.436,-20.924,-24.545,WB,0,Laptop with a headset or external mic
B04_abfb_Gm_R09_S03_tr.wav,14.517,48000,1,2,not compressed,483,381,0.789,11.43,0.833,12.087,-23.989,-23.623,SWB,0,"Smartphone, built-in mic"
B03_bff8_Gm_R05_S01_tr.wav,15.209,48000,2,2,not compressed,506,437,0.864,13.11,0.874,13.288,-23.405,-25.659,WB,0,"Laptop, built-in mic"
B03_c9a5_Gf_R06_S01_tr.wav,15.411,44100,1,2,not compressed,513,431,0.84,12.93,0.91,14.023,-20.744,-20.147,SWB,0,"Smartphone, built-in mic"
B00_c48e_Gf_R06_S02_tr.wav,14.095,48000,2,2,not compressed,469,118,0.252,3.54,0.868,12.232,-48.606,-51.823,WB,0,"Smartphone, built-in mic"
B03_2364_Gm_R04_S03_tr.wav,12.391,48000,1,2,not compressed,413,366,0.886,10.98,0.932,11.547,-23.518,-26.615,FB,0,"Laptop, built-in mic"
B04_2939_Gm_R11_S05_tr.wav,9.133,48000,1,2,not compressed,304,231,0.76,6.93,0.797,7.283,-26.378,-25.329,FB,0,"Laptop, built-in mic"
B04_cdbf_Gm_R09_S03_tr.wav,13.858,48000,1,2,not compressed,461,374,0.811,11.22,0.872,12.089,-29.33,-28.659,SWB,0,"Smartphone, built-in mic"
B04_62b7_Gm_R09_S03_tr.wav,15.765,48000,1,2,not compressed,525,441,0.84,13.23,0.855,13.475,-22.545,-22.584,WB,0,Laptop with a headset or external mic
B03_006f_Gm_R03_S05_tr.wav,8.476,48000,2,2,not compressed,282,214,0.759,6.42,0.816,6.915,-19.518,-22.893,FB,0,"Laptop, built-in mic"
B00_bf7a_Gf_R09_S03_SARrestored_tr.wav,16.255,48000,1,4,not compressed,541,466,0.861,13.98,0.822,13.366,-17.943,-17.703,WB,0,"Smartphone, built-in mic"
B04_f6b6_Gf_R04_S05_tr.wav,10.973,48000,1,2,not compressed,365,315,0.863,9.45,0.829,9.101,-19.323,-18.834,SWB,0,"Smartphone, built-in mic"
B03_7f5a_Gm_R09_S03_tr.wav,22.018,48000,2,2,not compressed,733,536,0.731,16.08,0.754,16.597,-21.411,-23.701,WB,0,"Laptop, built-in mic"
B03_ebb5_Gf_R04_S01_tr.wav,14.247,48000,1,2,not compressed,474,380,0.802,11.4,0.886,12.622,-26.682,-26.053,SWB,0,"Smartphone, built-in mic"
B03_1908_Gm_R08_S02_tr.wav,15.361,48000,1,2,not compressed,512,406,0.793,12.18,0.809,12.423,-25.867,-25.311,FB,1,"Smartphone, built-in mic"
B03_8e0c_Gm_R02_S04_tr.wav,13.977,48000,2,2,not compressed,465,388,0.834,11.64,0.883,12.348,-26.227,-28.763,WB,0,"Laptop, built-in mic"
B03_e9c2_Gf_R01_S01_tr.wav,16.154,48000,1,2,not compressed,538,468,0.87,14.04,0.902,14.57,-21.824,-21.387,FB,0,"Laptop, built-in mic"
B04_fcd1_Gf_R05_S01_tr.wav,12.778,48000,1,2,not compressed,425,390,0.918,11.7,0.936,11.959,-24.376,-24.141,SWB,0,"Smartphone, built-in mic"
B03_f123_Gm_R03_S04_tr.wav,16.896,48000,1,2,not compressed,563,408,0.725,12.24,0.819,13.843,-23.459,-23.669,FB,0,"Laptop, built-in mic"
B03_56b1_Gf_R07_S03_tr.wav,19.849,48000,1,2,not compressed,661,561,0.849,16.83,0.9,17.866,-22.001,-21.891,SWB,0,Laptop with a headset or external mic
B03_bc8b_Gf_R09_S03_tr.wav,16.441,44100,1,2,not compressed,548,358,0.653,10.74,0.961,15.801,-29.452,-30.201,SWB,0,"Smartphone, built-in mic"
B03_838e_Gm_R11_S05_tr.wav,10.577,48000,1,2,not compressed,352,209,0.594,6.27,0.617,6.529,-22.941,-22.557,FB,0,"Laptop, built-in mic"
