File_Name,ParticipantID,Device,ConditionNr,ASL,SNR,Speech Percentage,Duration,Bandwidth
P01_F_C3_Laptop_S02.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),3,-15.899387643547582,38.84506873338695,0.745886805381407,13.99467120181406,WB
P01_F_C3_Laptop_S03.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),3,-17.229222006485735,37.55106958287692,0.8010290008409209,16.08532879818594,WB
P01_F_C3_Laptop_S04.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),3,-16.962276136477957,37.5790325810766,0.7897590327027932,16.021337868480725,WB
P01_F_C3_Laptop_S05.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),3,-15.135457265100507,44.437123922259545,0.6496969630224263,9.45065759637188,WB
P01_F_C4_Laptop_S01.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),4,-18.357356449958555,41.37437275006965,0.7985656565729236,15.210657596371885,WB
P01_F_C4_Laptop_S02.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),4,-17.415688209798592,42.60973322323358,0.7150920842567262,14.677324263038548,WB
P01_F_C4_Laptop_S03.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),4,-18.382034892191072,38.49306924153327,0.859206446034027,14.442675736961451,WB
P01_F_C4_Laptop_S04.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),4,-17.730538140524917,40.63989760310346,0.8027681514478108,14.186666666666667,WB
P01_F_C4_Laptop_S05.wav,P01,Laptop (Lenovo ThinkPad X1 Carbon),4,-17.240392833041696,43.43605684040523,0.7667018404483064,8.256009070294784,WB
P01_F_C5_AirPods_S01.wav,P01,AirPods,5,-27.06812895114861,39.61343610424509,0.8405972338220911,15.139410430839002,NB
P01_F_C5_AirPods_S02.wav,P01,AirPods,5,-24.255008716181887,35.148517457556835,0.9420546793463298,14.489251700680272,NB
P01_F_C5_AirPods_S03.wav,P01,AirPods,5,-24.810075354361626,40.48359515178876,0.8113984608943768,16.973786848072564,NB
P01_F_C5_AirPods_S04.wav,P01,AirPods,5,-26.15042599643872,41.9646091012476,0.7921294974098216,14.86077097505669,NB
P01_F_C5_AirPods_S05.wav,P01,AirPods,5,-24.62491467627205,49.08415039279206,0.7082098462921973,9.05578231292517,NB
P01_F_C6_Smartphone_S01.wav,P01,Smartphone (iPhone 11 Pro),6,-17.8719023430819,35.83986482692308,0.9652602374714432,13.162675736961452,SWB
P01_F_C6_Smartphone_S02.wav,P01,Smartphone (iPhone 11 Pro),6,-16.57803454946055,40.21434413875788,0.9119323501290524,12.671995464852609,SWB
P01_F_C6_Smartphone_S03.wav,P01,Smartphone (iPhone 11 Pro),6,-16.473663715011767,39.81509609578888,0.940957199926826,13.418662131519277,SWB
