,Participant_ID,Gender,Condition,Device,Sentence,File_Name,Remarks,ASL,Percentage of Speech,Duration,Loudness,Bandwidth,SNR
47,P01,F,In the lab doors/windows closed,Laptop (Lenovo ThinkPad X1 Carbon),S03,P01_F_C1_Laptop_S03.wav,,-19.31186236777363,0.8017515711817816,16.72532879818594,-16.56623465808242,WB,40.39058827981293
48,P01,F,In the lab doors/windows closed,Laptop (Lenovo ThinkPad X1 Carbon),S04,P01_F_C1_Laptop_S04.wav,,-18.748920373363912,0.7864992332964817,15.850657596371882,-16.087037204767373,WB,41.23961390040076
49,P01,F,In the lab doors/windows closed,Laptop (Lenovo ThinkPad X1 Carbon),S05,P01_F_C1_Laptop_S05.wav,,-18.221742767069188,0.6631239634360873,10.261337868480725,-15.612213934161842,WB,47.07233605851484
50,P01,F,In the lab TV noise,AirPods,S01,P01_F_C2_AirPods_S01.wav,connected to laptop,-24.512258074938277,0.8094179347987471,15.464489795918368,-25.13419417026521,NB,40.04793891415223
51,P01,F,In the lab TV noise,AirPods,S02,P01_F_C2_AirPods_S02.wav,connected to laptop,-24.802077713852874,0.7726009741303623,14.466031746031746,-25.524642408249868,NB,40.38798057922005
52,P01,F,In the lab TV noise,AirPods,S03,P01_F_C2_AirPods_S03.wav,connected to laptop,-24.49234939045061,0.8358276475307981,16.416507936507937,-25.035979251966005,NB,37.55054627718059
53,P01,F,In the lab TV noise,AirPods,S04,P01_F_C2_AirPods_S04.wav,connected to laptop,-23.962767934241853,0.80883344995337,15.32517006802721,-24.653214048982576,NB,39.08565236453239
54,P01,F,In the lab TV noise,AirPods,S05,P01_F_C2_AirPods_S05.wav,connected to laptop,-21.89285320918769,0.714394477344595,9.613061224489796,-22.397103032262997,NB,44.85906524961537
55,P01,F,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S01,P01_F_C3_Laptop_S01.wav,,-16.5342926848184,0.7684459702730392,15.423990929705216,-13.777687135757525,WB,38.63614861732879
56,P01,F,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S02,P01_F_C3_Laptop_S02.wav,,-15.899387643547582,0.745886805381407,13.99467120181406,-13.07277240034709,WB,38.84506873338695
57,P01,F,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S03,P01_F_C3_Laptop_S03.wav,,-17.229222006485735,0.8010290008409209,16.08532879818594,-14.538191717151628,WB,37.55106958287692
58,P01,F,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S04,P01_F_C3_Laptop_S04.wav,,-16.962276136477957,0.7897590327027932,16.021337868480725,-14.24308438472455,WB,37.5790325810766
59,P01,F,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S05,P01_F_C3_Laptop_S05.wav,,-15.135457265100507,0.6496969630224263,9.45065759637188,-12.280410081335118,WB,44.437123922259545
60,P01,F,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S01,P01_F_C4_Laptop_S01.wav,,-18.357356449958555,0.7985656565729236,15.210657596371885,-15.325164271050054,WB,41.37437275006965
61,P01,F,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S02,P01_F_C4_Laptop_S02.wav,,-17.415688209798592,0.7150920842567262,14.677324263038548,-14.58821005430698,WB,42.60973322323358
62,P01,F,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S03,P01_F_C4_Laptop_S03.wav,,-18.382034892191072,0.859206446034027,14.442675736961451,-15.52406164171026,WB,38.49306924153327
63,P01,F,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S04,P01_F_C4_Laptop_S04.wav,,-17.730538140524917,0.8027681514478108,14.186666666666667,-14.89642879604878,WB,40.63989760310346
64,P01,F,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S05,P01_F_C4_Laptop_S05.wav,,-17.240392833041696,0.7667018404483064,8.256009070294784,-14.338454068547003,WB,43.43605684040523
65,P01,F,In the lab office,AirPods,S01,P01_F_C5_AirPods_S01.wav,connected to laptop,-27.06812895114861,0.8405972338220911,15.139410430839002,-27.41080777410951,NB,39.61343610424509
66,P01,F,In the lab office,AirPods,S02,P01_F_C5_AirPods_S02.wav,connected to laptop,-24.255008716181887,0.9420546793463298,14.489251700680272,-24.56413291827798,NB,35.148517457556835
67,P01,F,In the lab office,AirPods,S03,P01_F_C5_AirPods_S03.wav,connected to laptop,-24.810075354361626,0.8113984608943768,16.973786848072564,-25.30346325600578,NB,40.48359515178876
